File Size (KB), RAM Utilization, Max RSS (KB), Total RAM (MB), CPU Time Used (s), Throughput (B/s)
10, -2.26, 8176, -353, 0.000267, 38352059.93
20, -2.26, 8176, -353, 0.000158, 129620253.16
30, -2.26, 8176, -353, 0.000207, 148405797.10
40, -2.26, 8176, -353, 0.000291, 140756013.75
50, -2.30, 8304, -353, 0.000347, 147550432.28
60, -2.30, 8304, -353, 0.000450, 136533333.33
70, -2.30, 8304, -353, 0.000492, 145691056.91
80, -2.30, 8304, -353, 0.000569, 143971880.49
90, -2.30, 8304, -353, 0.000641, 143775351.01
100, -2.30, 8304, -353, 0.000731, 140082079.34
110, -2.30, 8304, -353, 0.000802, 140448877.81
120, -2.33, 8432, -353, 0.000855, 143719298.25
130, -2.33, 8432, -353, 0.000921, 144538545.06
140, -2.33, 8432, -353, 0.000998, 143647294.59
150, -2.33, 8432, -353, 0.001058, 145179584.12
160, -2.33, 8432, -353, 0.001129, 145119574.84
170, -2.33, 8432, -353, 0.001228, 141758957.65
180, -2.37, 8560, -353, 0.001281, 143887587.82
190, -2.37, 8560, -353, 0.001343, 144869694.71
200, -2.38, 8596, -353, 0.001418, 144428772.92
210, -2.38, 8596, -353, 0.001493, 144032150.03
220, -2.38, 8596, -353, 0.001579, 142672577.58
230, -2.38, 8596, -353, 0.001639, 143697376.45
240, -2.38, 8596, -353, 0.001696, 144905660.38
250, -2.38, 8596, -353, 0.001775, 144225352.11
260, -2.41, 8724, -353, 0.001839, 144774333.88
270, -2.41, 8724, -353, 0.001924, 143700623.70
280, -2.41, 8724, -353, 0.001977, 145027819.93
290, -2.41, 8724, -353, 0.002054, 144576436.22
300, -2.41, 8724, -353, 0.002155, 142552204.18
310, -2.41, 8724, -353, 0.002197, 144487938.10
320, -2.45, 8852, -353, 0.002279, 143782360.68
330, -2.45, 8852, -353, 0.002366, 142823330.52
340, -2.45, 8852, -353, 0.002474, 140727566.69
350, -2.45, 8852, -353, 0.002499, 143417366.95
360, -2.45, 8852, -353, 0.002578, 142994569.43
370, -2.45, 8852, -353, 0.002606, 145387567.15
380, -2.45, 8852, -353, 0.002714, 143375092.11
390, -2.48, 8980, -353, 0.002773, 144017309.77
400, -2.48, 8980, -353, 0.002841, 144174586.41
410, -2.48, 8980, -353, 0.002909, 144324510.14
420, -2.48, 8980, -353, 0.002980, 144322147.65
430, -2.48, 8980, -353, 0.003057, 144036637.23
440, -2.48, 8980, -353, 0.003197, 140932123.87
450, -2.52, 9108, -353, 0.003217, 143239042.59
460, -2.52, 9108, -353, 0.003266, 144225352.11
470, -2.52, 9108, -353, 0.003373, 142686036.17
480, -2.52, 9108, -353, 0.003438, 142966841.19
490, -2.52, 9108, -353, 0.003508, 143033067.27
500, -2.52, 9108, -353, 0.003563, 143699129.95
510, -2.52, 9108, -353, 0.003608, 144745011.09
520, -2.59, 9364, -353, 0.003811, 139721857.78
530, -2.59, 9364, -353, 0.003820, 142073298.43
540, -2.59, 9364, -353, 0.003831, 144338292.87
550, -2.59, 9364, -353, 0.003926, 143453897.10
560, -2.59, 9364, -353, 0.004583, 125123281.69
570, -2.59, 9364, -353, 0.004212, 138575498.58
580, -2.63, 9492, -353, 0.004220, 140739336.49
590, -2.63, 9492, -353, 0.004292, 140764212.49
600, -2.63, 9492, -353, 0.004267, 143988750.88
610, -2.63, 9492, -353, 0.004389, 142319434.95
620, -2.63, 9492, -353, 0.004501, 141053099.31
630, -2.63, 9492, -353, 0.004552, 141722319.86
640, -2.66, 9620, -353, 0.004619, 141883524.57
650, -2.66, 9620, -353, 0.004659, 142863275.38
660, -2.66, 9620, -353, 0.004740, 142582278.48
670, -2.66, 9620, -353, 0.004793, 143142082.20
680, -2.66, 9620, -353, 0.004865, 143128468.65
690, -2.66, 9620, -353, 0.004887, 144579496.62
700, -2.70, 9748, -353, 0.004958, 144574425.17
710, -2.70, 9748, -353, 0.005104, 142445141.07
720, -2.70, 9748, -353, 0.005306, 138952129.66
730, -2.70, 9748, -353, 0.005299, 141068126.06
740, -2.70, 9748, -353, 0.005473, 138454229.86
750, -2.70, 9748, -353, 0.005467, 140479239.07
760, -2.70, 9748, -353, 0.005449, 142822536.25
770, -2.73, 9876, -353, 0.005623, 140224079.67
780, -2.73, 9876, -353, 0.005642, 141566820.28
790, -2.73, 9876, -353, 0.005671, 142648562.86
800, -2.73, 9876, -353, 0.005768, 142024965.33
810, -2.73, 9876, -353, 0.005744, 144401114.21
820, -2.73, 9876, -353, 0.005831, 144002743.95
830, -2.77, 10004, -353, 0.005903, 143981026.60
840, -2.77, 10004, -353, 0.006126, 140411361.41
850, -2.77, 10004, -353, 0.006050, 143867768.60
860, -2.77, 10004, -353, 0.006221, 141559234.85
870, -2.77, 10004, -353, 0.006209, 143482042.20
880, -2.77, 10004, -353, 0.006260, 143948881.79
890, -2.77, 10004, -353, 0.006363, 143228037.09
900, -2.80, 10132, -353, 0.006456, 142750929.37
910, -2.80, 10132, -353, 0.006461, 144225352.11
920, -2.80, 10132, -353, 0.006639, 141900888.69
930, -2.80, 10132, -353, 0.006689, 142371056.96
940, -2.80, 10132, -353, 0.006677, 144160551.15
950, -2.80, 10132, -353, 0.006876, 141477603.26
960, -2.84, 10260, -353, 0.006817, 144204195.39
970, -2.84, 10260, -353, 0.007116, 139584035.98
980, -2.84, 10260, -353, 0.007054, 142262546.07
990, -2.84, 10260, -353, 0.007216, 140487804.88
1000, -2.84, 10260, -353, 0.007225, 141730103.81
1010, -2.84, 10260, -353, 0.007373, 140273972.60
1020, -2.87, 10388, -353, 0.007379, 141547635.18
